scheme,src_code,src_label,common_code,common_label,map_version,note
EDINET33,,水産・農林業,1,農林水産・鉱業,2026-08-01,ISIC A
EDINET33,,鉱業,1,農林水産・鉱業,2026-08-01,ISIC B
EDINET33,,建設業,2,建設,2026-08-01,ISIC F
EDINET33,,パルプ・紙,3,素材・化学,2026-08-01,ISIC C17
EDINET33,,化学,3,素材・化学,2026-08-01,ISIC C20
EDINET33,,医薬品,3,素材・化学,2026-08-01,ISIC C21
EDINET33,,石油・石炭製品,3,素材・化学,2026-08-01,ISIC C19。公益(D/E)ではなく製造業に置く
EDINET33,,ゴム製品,3,素材・化学,2026-08-01,ISIC C22
EDINET33,,ガラス・土石製品,3,素材・化学,2026-08-01,ISIC C23（窯業）
EDINET33,,鉄鋼,3,素材・化学,2026-08-01,ISIC C24
EDINET33,,非鉄金属,3,素材・化学,2026-08-01,ISIC C24
EDINET33,,金属製品,3,素材・化学,2026-08-01,ISIC C25
EDINET33,,機械,4,機械・電機・精密,2026-08-01,ISIC C28
EDINET33,,電気機器,4,機械・電機・精密,2026-08-01,ISIC C26/C27
EDINET33,,精密機器,4,機械・電機・精密,2026-08-01,ISIC C26/C32
EDINET33,,輸送用機器,5,輸送用機器,2026-08-01,ISIC C29/C30
EDINET33,,食料品,6,その他製造・消費財,2026-08-01,ISIC C10/C11
EDINET33,,繊維製品,6,その他製造・消費財,2026-08-01,ISIC C13/C14
EDINET33,,その他製品,6,その他製造・消費財,2026-08-01,ISIC C31/C32
EDINET33,,電気・ガス業,7,エネルギー・公益,2026-08-01,ISIC D/E
EDINET33,,卸売業,8,商社・卸売・小売,2026-08-01,ISIC G。総合商社もここ
EDINET33,,小売業,8,商社・卸売・小売,2026-08-01,ISIC G
EDINET33,,陸運業,9,運輸・物流,2026-08-01,ISIC H49
EDINET33,,海運業,9,運輸・物流,2026-08-01,ISIC H50
EDINET33,,空運業,9,運輸・物流,2026-08-01,ISIC H51
EDINET33,,倉庫・運輸関連,9,運輸・物流,2026-08-01,ISIC H52。EDINET の実際のラベルは末尾の「業」が無い
EDINET33,,倉庫・運輸関連業,9,運輸・物流,2026-08-01,ISIC H52。JPX 表記のゆれを吸収するため両方持つ
EDINET33,,情報・通信業,10,情報通信・IT・メディア,2026-08-01,ISIC J
EDINET33,,銀行業,11,金融・保険・不動産,2026-08-01,ISIC K64
"EDINET33",,"証券、商品先物取引業",11,金融・保険・不動産,2026-08-01,ISIC K66。ラベルに読点を含むため要引用符
EDINET33,,保険業,11,金融・保険・不動産,2026-08-01,ISIC K65
EDINET33,,その他金融業,11,金融・保険・不動産,2026-08-01,ISIC K64/K66
EDINET33,,不動産業,11,金融・保険・不動産,2026-08-01,ISIC L
EDINET33,,サービス業,12,サービス・その他,2026-08-01,ISIC M〜U
EDINET33,,内国法人・組合,12,サービス・その他,2026-08-01,上場企業ではないため通常は現れない。保険的に定義
EDINET33,,外国法人・組合,12,サービス・その他,2026-08-01,同上
