scheme,src_code,match_type,src_label,common_code,common_label,map_version,note
SIC,7370,prefix4,Computer programming and data processing,10,情報通信・IT・メディア,2026-08-01,ISIC J62/J63。73 の一般則より優先
SIC,7371,prefix4,Computer programming services,10,情報通信・IT・メディア,2026-08-01,
SIC,7372,prefix4,Prepackaged software,10,情報通信・IT・メディア,2026-08-01,
SIC,7373,prefix4,Computer integrated systems design,10,情報通信・IT・メディア,2026-08-01,
SIC,7374,prefix4,Data processing and preparation,10,情報通信・IT・メディア,2026-08-01,
SIC,7375,prefix4,Information retrieval services,10,情報通信・IT・メディア,2026-08-01,
SIC,7379,prefix4,Computer rental and leasing,10,情報通信・IT・メディア,2026-08-01,
SIC,01,prefix2,Agricultural production crops,1,農林水産・鉱業,2026-08-01,
SIC,02,prefix2,Agricultural production livestock,1,農林水産・鉱業,2026-08-01,
SIC,07,prefix2,Agricultural services,1,農林水産・鉱業,2026-08-01,
SIC,08,prefix2,Forestry,1,農林水産・鉱業,2026-08-01,
SIC,09,prefix2,Fishing hunting and trapping,1,農林水産・鉱業,2026-08-01,
SIC,10,prefix2,Metal mining,1,農林水産・鉱業,2026-08-01,
SIC,12,prefix2,Coal mining,1,農林水産・鉱業,2026-08-01,
SIC,13,prefix2,Oil and gas extraction,1,農林水産・鉱業,2026-08-01,上流。精製(29)は素材・化学
SIC,14,prefix2,Nonmetallic minerals except fuels,1,農林水産・鉱業,2026-08-01,
SIC,15,prefix2,General building contractors,2,建設,2026-08-01,
SIC,16,prefix2,Heavy construction,2,建設,2026-08-01,
SIC,17,prefix2,Special trade contractors,2,建設,2026-08-01,
SIC,20,prefix2,Food and kindred products,6,その他製造・消費財,2026-08-01,
SIC,21,prefix2,Tobacco products,6,その他製造・消費財,2026-08-01,
SIC,22,prefix2,Textile mill products,6,その他製造・消費財,2026-08-01,
SIC,23,prefix2,Apparel and other textile products,6,その他製造・消費財,2026-08-01,
SIC,24,prefix2,Lumber and wood products,3,素材・化学,2026-08-01,
SIC,25,prefix2,Furniture and fixtures,6,その他製造・消費財,2026-08-01,
SIC,26,prefix2,Paper and allied products,3,素材・化学,2026-08-01,
SIC,27,prefix2,Printing and publishing,10,情報通信・IT・メディア,2026-08-01,ISIC J58（出版）
SIC,28,prefix2,Chemicals and allied products,3,素材・化学,2026-08-01,医薬品(2834)を含む
SIC,29,prefix2,Petroleum and coal products,3,素材・化学,2026-08-01,
SIC,30,prefix2,Rubber and misc plastics products,3,素材・化学,2026-08-01,
SIC,31,prefix2,Leather and leather products,6,その他製造・消費財,2026-08-01,
SIC,32,prefix2,Stone clay and glass products,3,素材・化学,2026-08-01,
SIC,33,prefix2,Primary metal industries,3,素材・化学,2026-08-01,
SIC,34,prefix2,Fabricated metal products,3,素材・化学,2026-08-01,
SIC,35,prefix2,Industrial machinery and equipment,4,機械・電機・精密,2026-08-01,
SIC,36,prefix2,Electronic and other electric equipment,4,機械・電機・精密,2026-08-01,
SIC,37,prefix2,Transportation equipment,5,輸送用機器,2026-08-01,
SIC,38,prefix2,Instruments and related products,4,機械・電機・精密,2026-08-01,
SIC,39,prefix2,Miscellaneous manufacturing industries,6,その他製造・消費財,2026-08-01,
SIC,40,prefix2,Railroad transportation,9,運輸・物流,2026-08-01,
SIC,41,prefix2,Local and interurban passenger transit,9,運輸・物流,2026-08-01,
SIC,42,prefix2,Trucking and warehousing,9,運輸・物流,2026-08-01,
SIC,44,prefix2,Water transportation,9,運輸・物流,2026-08-01,
SIC,45,prefix2,Transportation by air,9,運輸・物流,2026-08-01,
SIC,46,prefix2,Pipelines except natural gas,9,運輸・物流,2026-08-01,
SIC,47,prefix2,Transportation services,9,運輸・物流,2026-08-01,
SIC,48,prefix2,Communications,10,情報通信・IT・メディア,2026-08-01,
SIC,49,prefix2,Electric gas and sanitary services,7,エネルギー・公益,2026-08-01,
SIC,50,prefix2,Wholesale trade durable goods,8,商社・卸売・小売,2026-08-01,
SIC,51,prefix2,Wholesale trade nondurable goods,8,商社・卸売・小売,2026-08-01,
SIC,52,prefix2,Building materials and garden supplies,8,商社・卸売・小売,2026-08-01,
SIC,53,prefix2,General merchandise stores,8,商社・卸売・小売,2026-08-01,
SIC,54,prefix2,Food stores,8,商社・卸売・小売,2026-08-01,
SIC,55,prefix2,Automotive dealers and service stations,8,商社・卸売・小売,2026-08-01,
SIC,56,prefix2,Apparel and accessory stores,8,商社・卸売・小売,2026-08-01,
SIC,57,prefix2,Furniture and home furnishings stores,8,商社・卸売・小売,2026-08-01,
SIC,58,prefix2,Eating and drinking places,12,サービス・その他,2026-08-01,ISIC I（宿泊飲食）。サービスに寄せる
SIC,59,prefix2,Miscellaneous retail,8,商社・卸売・小売,2026-08-01,
SIC,60,prefix2,Depository institutions,11,金融・保険・不動産,2026-08-01,
SIC,61,prefix2,Nondepository credit institutions,11,金融・保険・不動産,2026-08-01,
SIC,62,prefix2,Security and commodity brokers,11,金融・保険・不動産,2026-08-01,
SIC,63,prefix2,Insurance carriers,11,金融・保険・不動産,2026-08-01,
SIC,64,prefix2,Insurance agents brokers and service,11,金融・保険・不動産,2026-08-01,
SIC,65,prefix2,Real estate,11,金融・保険・不動産,2026-08-01,
SIC,67,prefix2,Holding and other investment offices,11,金融・保険・不動産,2026-08-01,純粋持株会社。実事業と乖離しうる点に注意
SIC,70,prefix2,Hotels and other lodging places,12,サービス・その他,2026-08-01,
SIC,72,prefix2,Personal services,12,サービス・その他,2026-08-01,
SIC,73,prefix2,Business services,12,サービス・その他,2026-08-01,7370番台はITとして別扱い
SIC,75,prefix2,Auto repair services and parking,12,サービス・その他,2026-08-01,
SIC,78,prefix2,Motion pictures,10,情報通信・IT・メディア,2026-08-01,ISIC J59
SIC,79,prefix2,Amusement and recreation services,12,サービス・その他,2026-08-01,
SIC,80,prefix2,Health services,12,サービス・その他,2026-08-01,
SIC,82,prefix2,Educational services,12,サービス・その他,2026-08-01,
SIC,83,prefix2,Social services,12,サービス・その他,2026-08-01,
SIC,87,prefix2,Engineering and management services,12,サービス・その他,2026-08-01,
SIC,99,prefix2,Nonclassifiable establishments,12,サービス・その他,2026-08-01,
